,subscribe
16432,0
35794,0
28588,0
29759,0
9406,0
1521,0
1888,0
7056,0
41129,0
35962,0
20219,0
12686,1
13137,0
16118,0
36879,0
44708,0
24369,0
29007,0
19851,0
11119,1
23093,0
42975,1
20287,0
26306,0
14318,0
26493,0
13883,0
20617,1
17747,0
43758,0
30566,0
33836,0
28383,0
22333,0
31119,1
4726,0
3800,0
16248,0
7191,1
15246,0
23178,0
24900,0
30388,0
33317,0
42351,0
14264,0
14339,0
22157,0
43772,1
1376,0
35304,0
1360,0
26326,0
18672,0
37224,0
36661,0
9995,0
10148,0
27155,0
32188,0
23392,0
22812,0
20013,0
37851,0
29325,0
12400,0
14105,0
11196,0
12573,0
7403,0
11842,0
2165,0
36232,0
3133,0
27968,0
7074,0
30887,0
8597,0
44940,1
25025,0
13419,0
380,0
19364,0
16585,0
3338,0
30492,0
36385,0
1798,0
28291,0
17559,0
37547,0
34892,0
1752,0
34140,0
14875,0
818,0
39707,0
38215,0
39724,1
17963,0
1147,0
28674,0
28357,0
14887,0
19696,0
38412,0
881,0
5585,0
27612,0
25323,0
44842,0
25507,0
35122,0
37572,0
36886,0
41219,0
838,0
39000,0
18556,1
17838,0
34396,0
40369,0
13010,0
17105,0
19580,0
12467,0
27788,0
294,0
44061,1
17429,0
17748,0
11,0
10428,0
34869,0
1386,0
15730,0
30204,0
7544,0
40163,1
33916,0
12435,0
14511,0
43713,0
31048,0
11592,0
13739,0
2095,0
15965,0
43461,0
39137,0
3084,0
40641,0
40108,1
9963,0
13001,0
39302,0
457,1
42934,0
37535,0
2250,0
43663,1
32975,0
34950,0
24758,0
42016,0
28365,0
44264,0
25125,0
19130,0
19058,0
41266,0
10750,0
24090,1
42246,1
43138,0
12371,0
30625,0
41591,1
40896,0
25915,0
31294,1
37272,1
27688,0
19942,0
30621,0
15759,0
8975,0
30831,0
33535,0
34374,1
2878,0
3342,0
16032,0
32533,0
19988,0
20664,0
25761,0
13565,0
182,0
17094,1
19701,0
35482,0
27845,0
37124,0
34025,0
3095,0
12876,0
23445,0
11063,0
6278,0
16034,0
35124,0
21570,0
21184,0
7101,0
6219,0
23608,0
18286,0
37099,1
11017,0
41661,0
42113,0
40243,0
37508,0
13563,0
27203,0
37245,0
11269,0
19738,0
44147,0
41056,1
583,0
16861,0
6982,0
2715,0
16532,0
38819,0
1547,0
26680,0
37527,0
34426,0
24496,0
18156,0
38980,0
37906,0
8806,0
3996,0
39880,0
30817,0
21424,0
40853,1
9716,0
15415,1
8590,0
2380,0
29118,0
35197,0
3627,0
7264,0
36394,0
41690,1
25203,0
38325,0
38373,0
32325,0
43844,0
34792,0
38865,0
25708,0
24200,0
9403,0
14065,0
2291,0
18520,0
33220,0
28180,0
20777,0
2011,0
3031,0
29685,0
5329,0
32605,0
28275,0
44848,0
31530,0
8128,0
32015,0
21838,0
40979,1
42826,0
8338,0
18746,0
12472,0
14311,0
25128,0
259,0
34532,0
24596,0
8294,0
22680,0
41744,1
8347,0
13053,0
34664,0
4579,0
36219,0
33300,0
40383,1
36477,0
7871,0
27849,0
17864,0
404,0
29630,0
6742,0
42946,0
336,0
14956,0
16892,0
24888,0
19958,0
33274,0
42335,1
24577,0
23097,0
38071,0
37466,0
30029,0
44695,1
37151,0
5705,1
3476,0
22252,0
31602,0
7510,0
5041,0
37866,0
38602,0
634,0
9237,1
35130,0
18700,0
28335,0
35693,0
22658,0
17689,0
13511,0
9983,0
9478,0
18398,0
26581,0
9240,0
7935,0
12420,0
10181,0
4418,0
8727,0
19036,0
4615,0
2373,0
6774,1
2029,0
35665,0
1274,0
31869,0
40191,0
21691,0
42855,0
34224,0
4054,0
3472,0
38264,0
3911,0
21168,0
13733,0
4434,0
43345,1
13506,0
36991,0
19259,0
42076,0
40116,0
5838,0
27922,0
38986,0
30502,0
18273,0
10632,0
31150,1
4435,0
30284,0
1536,0
16042,1
31516,0
23914,0
30619,0
11733,0
24498,0
39086,1
18706,0
16729,0
8627,0
22073,0
32623,0
910,0
20125,0
31688,0
6128,0
26387,0
30223,0
13237,0
43728,0
26186,0
7240,0
22529,0
10165,0
2587,0
30163,0
522,0
20155,0
17870,1
43845,0
25753,0
22627,0
25160,0
18334,0
18685,0
18498,0
17901,0
27915,0
23021,0
31113,0
11643,0
23723,0
647,0
4382,0
16024,0
18644,0
22207,0
44740,0
21873,0
19293,0
25445,0
3511,0
29775,0
34632,0
12679,0
15186,0
247,0
40729,0
15527,0
32470,0
35872,0
35270,0
577,0
14036,0
24869,0
35187,0
23278,0
38289,1
44666,0
4540,0
41289,0
5257,0
5265,0
35733,0
16645,0
23565,0
40046,0
14534,0
14495,0
38713,0
10906,0
35371,0
20582,0
15314,0
11743,0
4664,0
12142,0
36646,0
6044,0
22977,0
26583,0
13921,0
38857,0
44608,1
2712,0
4415,0
30994,0
7372,0
24055,1
28859,0
2285,0
33010,0
22648,0
31489,0
19545,0
41813,0
45022,0
52,0
6763,0
13946,0
20084,0
32869,0
36805,0
42136,1
22362,0
6556,0
25141,0
3524,0
5029,0
31309,1
21722,0
18305,0
28682,0
10425,0
25031,0
14271,0
26171,0
1681,0
2871,0
43431,1
40294,1
40140,1
295,0
7363,0
20676,0
459,0
16704,0
34968,0
40449,1
24131,1
18319,1
16051,0
37957,0
43859,1
1171,0
21569,0
16391,0
35893,0
38577,0
22186,0
10144,0
24893,0
15401,0
600,0
43420,1
11429,0
22987,0
43539,0
25785,0
12518,0
38425,0
8305,0
26385,0
1759,0
842,0
6065,0
34695,0
9940,0
9369,0
17474,0
4263,0
11437,0
40064,0
30234,0
27794,0
7983,0
33609,0
33124,0
34819,0
38250,0
18909,0
13109,0
1006,0
41558,0
34572,0
5011,0
3910,0
38267,0
28426,0
44837,0
41981,0
36420,0
9972,0
20267,0
37020,1
11268,0
20938,0
44688,0
9826,0
33652,0
18578,0
2894,0
16129,0
3187,0
33242,1
8267,1
14995,0
18521,0
18862,0
18359,0
18326,0
1056,0
38160,0
19644,0
23547,0
25429,0
39637,0
39660,0
31619,0
6425,0
22729,0
15243,0
10574,0
20567,1
39904,0
2720,1
33446,0
9767,0
28727,0
28463,0
734,0
20973,0
13590,0
15283,0
15031,0
27877,0
5902,0
16685,0
29623,0
37018,0
23533,0
15095,0
14399,0
42279,0
33909,1
5367,0
35158,0
7421,0
35205,0
14109,0
20252,0
5829,0
3182,0
31455,0
41257,0
1816,0
19313,0
23069,1
36479,0
35467,0
23424,0
16857,0
20107,0
33145,0
35782,0
6810,0
38750,0
44902,0
18,0
41200,0
12103,0
44656,0
19845,0
8508,0
5733,0
17833,0
22532,0
28443,0
41142,0
19342,0
29609,0
36972,0
21433,0
9094,0
31221,0
44105,1
4815,0
5551,0
17245,1
30420,0
2559,0
17685,0
32217,0
11417,0
39848,0
39381,0
8511,0
1042,0
33299,0
2507,1
19890,0
18050,1
19967,0
13466,1
3972,0
22366,0
21785,0
17168,0
32236,0
26567,0
33855,0
14404,0
24230,0
8879,0
28494,0
36713,0
2358,0
19935,0
31243,1
20963,0
26008,0
33225,0
38978,0
34810,0
17897,1
42383,0
13971,0
17917,0
26095,0
37386,0
44973,1
16422,0
28623,0
7885,0
6468,0
16477,0
23588,0
42139,0
22873,0
4855,0
38641,0
44808,1
39433,1
13586,0
12959,0
14940,0
15814,0
26584,0
17728,0
29712,0
34871,0
26483,0
37870,1
37180,0
41839,0
25592,0
24330,0
8487,0
33710,0
37864,0
2919,0
11829,0
39364,1
41805,0
15219,0
29905,0
38634,0
9434,1
9643,0
3648,0
14255,0
42108,0
19726,0
20372,1
17744,0
35120,1
16875,0
11762,1
31121,0
39284,0
28696,1
22689,0
15790,0
13079,0
15434,0
26526,0
43827,1
1797,0
654,0
39305,0
580,0
37450,0
40635,1
22799,0
21310,0
40997,0
10362,0
30919,0
4247,0
23689,0
3399,0
40080,1
1338,0
36703,0
3087,0
14886,0
14078,0
43519,1
11494,0
31797,0
24528,0
16203,0
36225,0
10074,0
12088,0
6923,0
20645,1
21319,0
1014,0
6266,0
11684,0
38315,0
6585,0
4970,0
3022,0
23706,0
38562,0
34925,0
3359,0
23566,0
367,0
43422,1
38086,0
17875,0
32441,0
38240,0
5921,0
21432,0
33980,0
35045,0
3742,0
38305,0
20492,0
28804,0
1737,0
20813,0
24370,0
11768,0
43993,0
17065,0
21445,0
16619,0
24826,0
24954,0
17668,0
833,0
12101,0
39891,0
19609,0
37281,0
15123,0
28116,0
45016,0
38528,0
31935,0
15664,0
5251,1
4984,0
20518,0
12836,0
15431,0
28748,0
8654,0
13089,0
36946,0
14135,0
20272,0
10601,0
35409,0
41423,0
4942,0
1450,0
12409,0
40601,0
7513,0
1196,0
34611,0
10070,1
32691,0
31521,0
41601,0
21655,0
30055,0
30920,0
19389,0
25729,1
38422,0
736,0
5971,0
24919,0
43401,0
20520,0
21437,0
30348,0
43009,1
8122,0
25725,0
25039,0
8616,0
27347,0
23207,0
4115,0
21719,0
27278,0
39546,0
12037,0
33239,0
37381,0
28904,1
26895,0
5288,0
18614,0
1459,0
24428,0
43815,0
27393,0
29153,0
5494,0
38186,0
13384,0
35388,0
32113,0
23477,0
43942,1
16856,0
6964,0
30435,0
4380,0
11185,0
16046,0
18089,0
20367,0
39986,1
4725,0
43327,0
7260,0
36008,0
43471,1
2131,0
7514,0
19172,0
6113,0
28599,0
41226,0
11687,0
375,0
20460,0
39653,0
37718,0
20581,0
9867,0
42979,1
2481,0
30788,0
31350,0
8573,0
30910,1
26502,1
35768,0
21024,0
5267,0
9879,0
7122,0
4314,0
3767,0
16439,0
16324,0
3593,0
7987,0
15273,0
34928,0
13762,0
20781,0
16190,0
14381,0
472,0
17469,0
31592,0
36853,0
39559,0
25532,0
40682,0
17587,0
7309,0
24441,1
11658,0
37379,0
37562,0
13130,0
8775,0
7860,0
37824,0
37601,0
20291,1
43606,0
21460,0
28818,0
3619,0
24715,0
21142,0
27947,0
35485,0
28247,0
26655,0
10280,0
37046,0
40887,1
17810,0
18831,0
37552,0
9589,0
17525,0
8173,0
34849,0
43730,1
1676,0
1266,0
23748,0
22109,0
7578,0
31766,0
28998,0
20633,1
28474,0
20822,0
27664,0
1443,0
4971,0
2336,0
26728,0
37308,0
5639,0
20860,0
20768,0
11721,0
23384,0
14621,0
16682,0
19905,0
17713,0
16536,0
38646,0
15046,0
18179,0
5589,0
41819,0
2921,0
15285,0
10648,0
22839,0
25202,0
36866,0
6884,0
10620,0
44994,1
21849,0
40600,0
7405,0
551,0
12994,0
25049,0
18590,0
22922,0
38526,0
268,0
17754,0
18376,0
19955,0
23099,0
20880,0
7424,0
29522,1
24399,0
32301,0
35958,0
35232,0
24593,0
12234,0
39042,0
34179,0
38775,0
41635,1
20673,0
6700,0
16916,0
218,0
45036,0
36345,0
16630,0
9420,0
25337,0
14553,0
30766,0
13519,0
43712,1
1066,0
22351,1
39718,0
16659,0
31196,1
16616,0
29104,0
15755,1
960,0
12923,0
33278,0
5611,0
34149,0
41602,0
14131,0
441,0
33453,0
14562,1
21145,0
23541,0
31482,1
38533,0
14748,0
27997,0
43515,1
6600,0
15578,1
5769,0
29080,0
14818,0
13932,1
28511,0
42464,0
7521,0
17751,0
4306,0
22228,0
15416,0
23288,0
37737,0
14838,0
36982,0
5359,0
15800,0
20889,0
25587,0
6813,0
22162,0
10859,0
23686,0
26390,0
39646,0
19348,0
18187,0
32127,0
42553,0
4308,0
33257,0
28373,0
44175,1
4273,0
44064,0
37025,0
7141,0
9484,0
40987,1
32812,0
33036,0
24309,0
19359,0
11939,0
29651,0
28380,0
17018,0
42917,0
39675,1
10150,0
15613,0
27381,0
3618,0
23675,0
33136,1
21485,0
53,0
5559,0
28509,0
42496,1
36654,1
38171,0
27404,0
36933,0
39336,0
2905,0
43350,1
3025,0
33683,0
32772,0
12091,0
31001,0
39796,0
35890,0
35002,0
29409,0
21744,0
40817,0
10765,0
18190,0
3533,0
34363,0
19100,0
16814,0
42890,0
36835,0
11950,0
14040,0
29804,0
7335,0
2807,0
5744,0
30282,0
6290,0
40214,0
37006,0
22898,0
38220,0
37733,0
24896,1
3927,0
34791,1
12384,0
15941,0
28561,0
37856,0
10960,0
14364,1
38829,0
40113,0
34301,0
4642,0
14768,0
297,0
44833,0
14230,0
40301,1
43215,0
39541,0
43624,1
4627,0
25138,0
1607,0
28608,0
13244,0
29266,0
10255,0
979,0
4859,0
39569,0
3164,0
19471,0
17866,0
35624,0
5448,0
35631,0
34702,0
11218,0
13029,0
22730,0
13936,1
25401,0
19530,0
18284,0
8821,1
6200,0
18560,0
27770,0
15915,0
33770,1
10860,0
13550,0
34421,0
5475,0
41381,0
15012,0
14913,0
21199,0
38914,0
16934,0
3090,0
18914,0
27724,0
9439,0
20187,0
29317,0
12151,0
37962,0
23251,0
28898,0
31406,0
26605,0
31327,1
42482,1
568,0
17894,0
27831,0
19352,0
23483,0
28715,0
40625,1
19979,0
30464,0
35196,0
5425,0
9906,0
3369,0
14045,0
40708,0
44876,0
13497,0
29154,0
17056,0
5642,0
8188,0
28024,0
35742,0
17676,0
28959,0
31938,0
33110,1
17270,0
10767,0
11566,0
45058,1
28612,0
15843,0
15816,0
39532,0
26984,0
7549,0
18728,0
41902,1
12782,0
8684,0
16227,0
6582,0
22841,0
31185,0
6734,0
21611,0
18807,0
5689,0
5512,0
22795,0
37560,0
40329,0
14954,1
34410,0
29309,0
36104,0
45084,1
25392,0
33589,0
41020,1
34069,1
15185,0
10196,0
18347,0
3658,0
40986,0
11337,0
39138,0
18155,0
27047,0
42364,1
12341,0
38887,0
38223,0
35718,0
22210,0
3017,0
43217,0
8621,0
25872,0
24340,0
16485,0
688,0
29975,0
690,0
21000,0
21941,0
33322,0
11331,0
5376,0
19553,0
22703,0
8516,0
12734,0
10170,0
29077,0
41833,1
550,0
26177,0
14091,0
13035,0
17277,0
2570,0
13389,0
31910,0
30710,0
15115,0
20782,0
22875,1
19868,0
25058,0
39136,1
44522,1
6630,0
6753,0
40705,1
39957,1
7825,0
3238,0
44879,1
10236,0
11863,0
27744,0
29148,0
16513,0
10411,0
5573,0
29791,0
36976,0
24488,0
39674,0
40948,1
21644,0
335,0
6114,0
15752,0
29368,0
24245,0
14124,0
22319,0
8133,0
9920,0
6896,0
7069,0
36174,0
41393,1
10007,0
3490,0
32966,0
15648,0
9017,0
14804,0
41263,1
13004,0
30139,0
9490,0
43602,1
4340,0
32004,0
37453,0
1287,0
39994,0
13571,0
18435,0
43629,1
24060,0
20528,0
5691,0
29561,0
10640,0
360,0
4880,0
22105,0
32309,1
28016,0
37735,1
34929,0
4857,0
32752,0
2846,0
38075,0
31351,1
23591,0
11558,0
19122,0
37035,0
12760,0
29296,0
1322,0
23320,0
28722,1
6654,0
43257,1
37817,1
26324,1
8106,0
42448,0
37279,0
17378,0
40934,0
42287,1
25540,0
10665,0
25607,1
22067,0
32701,0
9043,0
40827,0
31510,0
13377,0
35621,0
30187,0
20275,0
6750,0
40624,1
19477,0
8416,0
28759,0
32889,0
19771,0
9502,0
4401,0
33648,0
13908,0
43786,0
22311,0
44586,0
39280,0
1700,0
27851,0
27874,0
29364,0
42048,1
24232,0
7181,0
35826,0
17237,0
2708,0
8162,0
8376,0
32413,0
7864,0
42739,1
27325,0
17288,0
12842,0
29755,0
37217,0
39112,0
33454,0
17886,0
37249,0
4875,0
5231,0
17765,0
17141,0
39860,0
20258,0
14810,0
1087,1
41684,0
24707,0
17088,0
32836,0
20752,0
17400,0
18585,0
20640,0
28139,0
10713,0
3833,0
9554,0
36523,0
35276,0
22612,0
42471,0
12331,0
44405,0
6118,0
7797,0
593,0
8117,0
39314,0
28897,0
4680,0
19363,0
18888,0
41507,0
27754,0
15643,0
29461,0
27457,0
38497,1
9733,0
4172,0
33344,0
261,0
2146,0
23119,0
35951,0
41749,1
837,0
39683,0
11461,0
7824,0
4844,0
32299,0
30202,0
9865,0
20773,0
12899,1
7108,0
21075,0
22380,0
17768,0
27313,0
42141,1
7890,0
5135,0
13825,0
36680,0
24656,0
23070,0
19813,0
16283,0
3041,0
38066,0
16058,0
39696,0
29278,0
12158,0
1764,0
8085,0
12579,0
41058,0
22972,0
5150,0
21214,1
14588,0
2962,0
1313,0
2749,0
33901,0
11507,1
20382,0
9503,0
14181,0
44385,1
23302,1
33639,0
13979,0
2729,0
27014,0
355,0
10871,1
41167,0
5010,0
4006,0
9257,0
19737,0
44810,1
12504,0
26321,0
17491,0
962,0
14890,0
11021,0
20910,0
3587,0
2732,0
8046,0
13240,0
6261,0
15118,0
5297,0
1259,0
4031,0
19339,0
35618,0
1367,0
3874,0
30991,0
17505,0
40105,0
19346,0
29590,0
4799,0
2686,0
17612,0
37509,0
1911,0
27446,0
5694,0
42686,0
25117,0
37590,0
36855,1
17595,0
22077,0
44466,0
21532,0
19638,0
22265,0
44619,1
33029,0
33672,0
38096,0
38623,0
40306,0
9644,0
7430,0
28115,0
21457,0
10354,0
8568,0
14171,0
12161,0
18258,0
30352,0
38548,0
42582,0
25312,0
9221,0
41201,1
23546,1
33939,0
37032,0
24975,0
23276,0
26724,0
19250,0
44286,0
1869,0
2052,0
42184,1
337,0
35622,0
24256,0
15070,0
10422,0
10269,0
30785,0
20754,0
9801,0
22518,0
25148,0
6851,0
19783,0
23803,0
20697,0
22069,0
45092,1
6472,0
21452,0
6467,0
27746,0
2425,0
30182,0
6751,1
34068,0
34496,0
1339,0
12463,0
15659,1
10275,0
2620,0
39063,0
6385,0
36367,0
668,0
15875,0
20862,0
8522,1
43620,1
17606,0
41658,1
39415,1
32509,0
24461,0
779,0
21469,0
40159,0
4068,0
38119,0
27171,0
31303,1
41562,1
38629,0
27921,0
21470,0
12265,0
32950,0
19407,0
43017,1
18115,0
7251,0
22309,0
34862,0
35220,0
2542,0
36182,0
9302,0
41360,1
31939,1
3006,0
40539,0
10857,0
27933,0
38475,0
3033,0
16073,0
25189,0
22790,0
40057,0
1025,0
42322,1
2208,0
36114,0
39279,0
23083,0
21141,0
12187,0
16103,0
10398,0
26476,0
16618,0
38822,0
16168,0
13621,0
8097,0
14149,1
3845,0
39156,0
10504,0
22986,0
137,0
13730,0
6100,0
10817,0
17658,0
28720,0
21294,0
38781,0
8720,0
38153,0
10623,0
30293,1
26240,0
4077,0
31361,0
33709,0
10291,0
14229,0
44137,0
11742,0
35112,0
27428,0
10930,0
33231,0
12129,0
31605,0
24855,0
1671,1
2547,0
17823,0
22701,0
37934,0
13122,0
40965,0
905,0
2642,0
22040,0
43137,0
141,0
38328,0
36735,0
20763,0
4260,0
26778,0
32788,0
36992,0
27189,0
10311,0
44338,1
43249,1
29600,0
22121,0
37313,0
24286,0
34448,0
3943,0
32625,0
29828,1
14054,0
40543,1
15666,0
16683,0
37174,0
6371,0
27415,0
3902,0
2522,0
16529,0
27793,0
20728,0
21973,0
32199,1
21484,0
964,0
44052,0
32737,0
15873,0
16615,0
36900,0
20563,0
4526,0
30423,0
14261,0
6361,0
1534,0
38964,0
8221,0
16559,0
41731,0
34766,0
33483,0
21806,0
39530,0
19717,0
15272,0
505,0
28264,0
38041,0
32939,0
44687,1
29475,0
37797,0
19386,0
37675,0
3762,0
9795,0
38258,0
39857,0
5664,0
21225,1
24688,0
31251,1
20605,0
12564,1
989,0
34126,0
29139,0
34940,0
10468,0
22050,0
16274,1
31607,0
4292,0
21191,0
34298,0
16496,0
1844,0
6187,0
